OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,LATITUDE,LONGITUDE,LAT,LGT,x,y
1,00601,ADJUNTAS,PR,18.139845025,-66.703300221,18.139845025,-66.703300221,-7425377.41483257,2053923.66897876
2,00602,AGUADA,PR,18.384364416,-67.183857905,18.384364416,-67.183857905,-7478872.85151224,2082587.16409978
3,00603,AGUADILLA,PR,18.450707994,-67.145194885,18.450707994,-67.145194885,-7474568.90381331,2090371.20130543
4,00604,AGUADILLA,PR,18.493863,-67.147469,18.493863,-67.147469,-7474822.05713712,2095436.15627304
5,00605,AGUADILLA,PR,18.4437,-67.1383,18.4437,-67.1383,-7473801.36872603,2089548.81730353
6,00606,MARICAO,PR,18.181248922,-66.979567507,18.181248922,-66.979567507,-7456131.34843293,2058774.35769547
7,00610,ANASCO,PR,18.283642319,-67.144631347,18.283642319,-67.144631347,-7474506.17105011,2070775.24452798
8,00611,ANGELES,PR,18.2753,-66.8139,18.2753,-66.8139,-7437689.32591269,2069797.22913162
9,00612,ARECIBO,PR,18.458773013,-66.721831317,18.458773013,-66.721831317,-7427440.28700313,2091317.66811002
10,00613,ARECIBO,PR,18.465646952,-66.723887699,18.465646952,-66.723887699,-7427669.20240025,2092124.39134183
11,00614,ARECIBO,PR,18.4609,-66.7377,18.4609,-66.7377,-7429206.78071425,2091567.28715613
12,00616,BAJADERO,PR,18.444080679,-66.619231383,18.444080679,-66.619231383,-7416018.91459482,2089593.48890003
13,00617,BARCELONETA,PR,18.440355674,-66.546730027,18.440355674,-66.546730027,-7407948.10056308,2089156.3744261
14,00622,BOQUERON,PR,18.032874336,-67.12893972,18.032874336,-67.12893972,-7472759.38712275,2041396.78683227
15,00623,CABO ROJO,PR,18.078927172,-67.155467115,18.078927172,-67.155467115,-7475712.40322622,2046788.90229413
16,00624,PENUELAS,PR,18.046899275,-66.724740944,18.046899275,-66.724740944,-7427764.18519917,2043038.75305685
17,00627,CAMUY,PR,18.473560243,-66.843421509,18.473560243,-66.843421509,-7440975.64526202,2093053.13260476
18,00637,SABANA GRANDE,PR,18.07008133,-66.951681387,18.07008133,-66.951681387,-7453027.07975433,2045753.07353979
19,00638,CIALES,PR,18.322874011,-66.467831288,18.322874011,-66.467831288,-7399165.13311337,2075375.22032884
20,00641,UTUADO,PR,18.256745525,-66.698839607,18.256745525,-66.698839607,-7424880.86155346,2067622.15575473
21,00646,DORADO,PR,18.449639034,-66.277879292,18.449639034,-66.277879292,-7378019.77364349,2090245.75730512
22,00647,ENSENADA,PR,17.965364633,-66.939489711,17.965364633,-66.939489711,-7451669.90859009,2033494.93385637
23,00650,FLORIDA,PR,18.375706955,-66.580878169,18.375706955,-66.580878169,-7411749.45434206,2081571.61254012
24,00652,GARROCHALES,PR,18.467644319,-66.615553182,18.467644319,-66.615553182,-7415609.45913247,2092358.80773878
25,00653,GUANICA,PR,17.973178616,-66.906649692,17.973178616,-66.906649692,-7448014.17439737,2034409.38759055
26,00656,GUAYANILLA,PR,18.019733274,-66.789566767,18.019733274,-66.789566767,-7434980.56280578,2039858.41902195
27,00659,HATILLO,PR,18.480733257,-66.813239503,18.480733257,-66.813239503,-7437615.79972299,2093895.02848498
28,00660,HORMIGUEROS,PR,18.140089358,-67.121676354,18.140089358,-67.121676354,-7471950.83291819,2053952.29052976
29,00662,ISABELA,PR,18.482774076,-67.024075838,18.482774076,-67.024075838,-7461085.99317591,2094134.56562752
30,00664,JAYUYA,PR,18.219176828,-66.592002374,18.219176828,-66.592002374,-7412987.79517814,2063218.82574832
31,00667,LAJAS,PR,18.04818147,-67.05790936,18.04818147,-67.05790936,-7464852.32361669,2043188.8722476
32,00669,LARES,PR,18.295242639,-66.882936484,18.295242639,-66.882936484,-7445374.43215774,2072135.29129496
33,00670,LAS MARIAS,PR,18.252322843,-66.989367407,18.252322843,-66.989367407,-7457222.26831075,2067103.73518959
34,00674,MANATI,PR,18.430695296,-66.48021668,18.430695296,-66.48021668,-7400543.86864409,2088022.81175934
